x1, y1, x2, y2, d, a, t
110, 57, 38, 66, 72.488, 1.687, 4
39, 67, 43, 50, 17.181, -0.211, 4
38, 72, 66, 36, 45.363, -0.654, 4
60, 72, 69, 34, 39.051, -0.233, 4
106, 72, 64, 57, 44.400, 1.240, 4
37, 80, 59, 60, 29.560, -0.831, 4
94, 81, 55, 52, 49.600, 0.931, 4
81, 88, 62, 32, 60.087, 0.332, 4
55, 94, 89, 48, 57.121, -0.639, 4
60, 98, 44, 31, 69.273, 0.233, 4
57, 118, 53, 34, 84.925, 0.054, 4
64, 47, 53, 57, 15.307, 2.290, 4
72, 48, 74, 48, 2.585, -1.190, 4
96, 48, 79, 54, 18.192, 1.852, 4
70, 57, 36, 39, 39.247, 1.077, 4
131, 60, 48, 42, 85.071, 1.352, 4
90, 77, 33, 56, 61.685, 1.210, 4
54, 84, 82, 44, 49.332, -0.606, 4
60, 99, 58, 60, 39.396, 0.043, 4
129, 60, 55, 51, 74.928, 1.452, 4
63, 62, 40, 37, 34.762, 0.760, 4
93, 63, 33, 50, 61.901, 1.344, 4
58, 72, 36, 55, 28.750, 0.913, 4
69, 93, 35, 75, 38.723, 1.078, 4
84, 101, 58, 60, 49.713, 0.566, 4
99, 74, 59, 51, 46.928, 1.043, 4
68, 93, 48, 36, 60.844, 0.342, 4
85, 107, 97, 51, 57.455, -0.226, 4
97, 77, 49, 71, 48.435, 1.444, 4
98, 31, 59, 42, 40.522, 1.846, 5
131, 31, 31, 41, 100.499, 1.670, 5
62, 32, 67, 59, 27.459, -2.958, 5
53, 34, 46, 78, 44.435, 3.002, 5
43, 36, 71, 31, 28.443, -1.394, 5
48, 36, 48, 40, 4.000, 3.142, 5
66, 36, 42, 68, 40.000, 2.498, 5
40, 37, 55, 52, 21.213, -2.356, 5
108, 37, 93, 53, 22.141, 2.416, 5
36, 39, 35, 85, 46.011, 3.120, 5
105, 40, 87, 35, 18.682, 1.300, 5
48, 42, 35, 103, 62.370, 2.932, 5
32, 45, 50, 59, 23.145, -2.223, 5
74, 48, 42, 60, 34.176, 1.930, 5
38, 49, 59, 56, 22.225, -1.899, 5
33, 50, 31, 47, 3.606, 0.588, 5
79, 52, 111, 37, 35.341, -1.132, 5
79, 54, 53, 77, 35.015, 2.317, 5
36, 55, 67, 84, 42.450, -2.323, 5
61, 55, 34, 91, 45.000, 2.498, 5
33, 56, 60, 55, 27.012, -1.541, 5
47, 56, 48, 50, 6.083, -0.165, 5
54, 58, 53, 53, 4.775, 0.151, 5
53, 65, 92, 66, 39.180, -1.602, 5
57, 65, 63, 33, 32.558, -0.185, 5
49, 68, 43, 92, 25.080, 2.908, 5
49, 71, 44, 73, 5.099, 2.017, 5
34, 72, 31, 44, 28.160, 0.107, 5
35, 75, 44, 88, 16.697, -2.544, 5
82, 44, 89, 34, 12.108, -0.538, 5
67, 46, 51, 59, 20.280, 2.216, 5
44, 57, 45, 63, 5.433, -3.031, 5
66, 58, 47, 43, 24.711, 0.877, 5
58, 60, 75, 33, 31.487, -0.540, 5
40, 62, 47, 37, 26.146, -0.239, 5
38, 66, 45, 73, 9.621, -2.386, 5
73, 47, 70, 57, 10.085, 2.793, 5
89, 48, 44, 46, 44.932, 1.523, 5
97, 51, 57, 33, 45.049, 1.139, 5
46, 54, 53, 53, 7.576, -1.418, 5
44, 57, 67, 58, 22.592, -1.624, 5
64, 57, 51, 50, 15.754, 1.067, 5
59, 60, 47, 52, 14.727, 0.957, 5
63, 57, 40, 37, 31.207, 0.874, 5
60, 60, 50, 49, 15.128, 0.729, 5
88, 32, 55, 62, 44.598, 2.309, 6
57, 33, 63, 84, 51.352, -3.024, 6
75, 33, 79, 33, 4.000, -1.571, 6
79, 34, 40, 35, 39.013, 1.596, 6
89, 34, 110, 47, 25.720, -2.124, 6
47, 37, 58, 62, 27.813, -2.705, 6
111, 37, 62, 32, 49.254, 1.469, 6
48, 40, 40, 76, 37.498, 2.948, 6
59, 42, 57, 57, 15.133, 3.009, 6
55, 43, 52, 56, 13.579, 2.979, 6
31, 44, 55, 78, 41.617, -2.527, 6
56, 47, 46, 97, 51.036, 2.960, 6
47, 52, 49, 63, 11.180, -2.962, 6
93, 53, 42, 34, 54.424, 1.214, 6
70, 57, 61, 39, 20.125, 0.464, 6
51, 59, 61, 58, 10.050, -1.471, 6
107, 59, 87, 54, 20.616, 1.326, 6
42, 60, 40, 65, 5.385, 2.761, 6
53, 63, 135, 48, 83.361, -1.390, 6
42, 68, 34, 33, 35.903, 0.225, 6
35, 77, 42, 80, 7.616, -1.976, 6
31, 78, 84, 48, 61.278, -1.077, 6
48, 80, 50, 84, 4.665, -2.601, 6
35, 85, 41, 77, 10.000, -0.644, 6
45, 89, 55, 46, 44.147, -0.228, 6
