x1, y1, x2, y2, d, a, t
148, 9, 99, 31, 53.990, 1.984, 4
152, 16, 21, 98, 154.514, 2.127, 4
41, 21, 44, 18, 4.148, -0.796, 4
58, 21, 21, 47, 45.644, 2.188, 4
37, 24, 36, 56, 31.722, 3.111, 4
30, 26, 3, 60, 43.231, 2.478, 4
30, 26, 3, 60, 43.231, 2.478, 4
147, 35, 21, 47, 126.713, 1.673, 4
72, 35, 17, 52, 57.743, 1.877, 4
98, 49, 111, 24, 28.250, -0.507, 4
7, 52, 10, 60, 8.301, -2.829, 4
110, 53, 21, 93, 97.736, 1.987, 4
4, 55, 62, 32, 62.443, -1.191, 4
110, 58, 24, 94, 93.557, 1.972, 4
89, 58, 48, 45, 43.458, 1.256, 4
34, 71, 21, 67, 13.768, 1.245, 4
60, 73, 51, 29, 44.601, 0.183, 4
12, 76, 74, 47, 67.614, -1.138, 4
83, 85, 29, 29, 78.539, 0.765, 4
167, 5, 163, 10, 5.927, 2.579, 4
11, 16, 27, 11, 16.481, -1.285, 4
71, 22, 25, 61, 60.887, 2.267, 4
71, 22, 30, 4, 45.351, 1.160, 4
67, 48, 16, 14, 61.038, 0.987, 4
129, 60, 42, 5, 102.678, 1.008, 4
5, 75, 4, 37, 38.469, 0.031, 4
20, 78, 60, 54, 46.501, -1.040, 4
110, 84, 67, 26, 72.529, 0.641, 4
28, 96, 15, 63, 35.740, 0.363, 4
69, 102, 74, 47, 55.060, -0.073, 4
84, 106, 102, 9, 98.827, -0.187, 4
54, 34, 4, 57, 54.031, 1.993, 4
41, 38, 13, 52, 31.540, 2.041, 4
48, 41, 157, 4, 115.314, -1.246, 4
68, 40, 74, 29, 12.383, -0.441, 4
153, 46, 38, 49, 114.821, 1.596, 4
108, 64, 70, 31, 49.266, 0.854, 4
108, 64, 4, 53, 103.784, 1.473, 4
106, 71, 69, 34, 52.846, 0.791, 4
38, 75, 68, 38, 47.604, -0.682, 4
76, 9, 23, 4, 53.869, 1.485, 4
30, 63, 30, 49, 13.791, 0.044, 4
64, 66, 86, 3, 66.117, -0.340, 4
127, 79, 163, 10, 78.652, -0.488, 4
127, 79, 136, 26, 54.132, -0.171, 4
97, 92, 13, 31, 104.075, 0.936, 4
154, 26, 34, 61, 124.458, 1.857, 4
33, 28, 7, 52, 34.906, 2.330, 4
68, 96, 47, 41, 58.320, 0.365, 4
75, 20, 59, 51, 34.203, 2.659, 4
99, 81, 24, 20, 96.508, 0.890, 4
48, 70, 7, 5, 76.757, 0.572, 4
64, 121, 63, 76, 45.420, 0.013, 4
86, 3, 87, 17, 13.268, -3.070, 5
23, 4, 74, 3, 51.470, -1.551, 5
100, 6, 78, 37, 37.761, 2.512, 5
22, 6, 50, 43, 46.090, -2.493, 5
124, 12, 61, 63, 80.410, 2.245, 5
8, 13, 13, 68, 55.594, -3.041, 5
69, 16, 61, 7, 12.573, 0.733, 5
53, 16, 34, 82, 68.064, 2.850, 5
86, 17, 85, 12, 4.972, 0.215, 5
43, 21, 66, 59, 44.156, -2.592, 5
151, 23, 16, 106, 159.099, 2.123, 5
11, 26, 24, 48, 25.341, -2.610, 5
51, 29, 18, 4, 41.608, 0.933, 5
62, 32, 67, 66, 34.945, -2.991, 5
53, 34, 84, 33, 31.685, -1.544, 5
37, 39, 51, 25, 19.966, -0.783, 5
30, 49, 53, 62, 25.966, -2.073, 5
30, 49, 40, 22, 29.625, -0.346, 5
59, 51, 67, 66, 17.358, -2.674, 5
59, 51, 54, 46, 7.117, 0.762, 5
17, 52, 26, 30, 24.369, -0.394, 5
4, 53, 76, 9, 84.246, -1.009, 5
4, 57, 8, 20, 36.808, -0.091, 5
18, 57, 113, 7, 107.272, -1.092, 5
60, 58, 37, 56, 22.973, 1.504, 5
10, 60, 30, 86, 32.509, -2.475, 5
49, 71, 59, 41, 31.460, -0.321, 5
24, 84, 144, 48, 124.630, -1.274, 5
24, 84, 153, 37, 137.492, -1.218, 5
21, 93, 5, 27, 67.959, 0.241, 5
24, 94, 153, 37, 141.474, -1.154, 5
24, 94, 63, 24, 80.703, -0.511, 5
132, 20, 21, 63, 118.907, 1.946, 5
67, 26, 144, 48, 79.801, -1.855, 5
67, 26, 68, 8, 17.209, -0.042, 5
136, 26, 107, 8, 33.828, 1.025, 5
69, 34, 45, 13, 31.831, 0.833, 5
4, 37, 75, 14, 74.333, -1.260, 5
104, 37, 11, 106, 115.214, 2.208, 5
33, 46, 16, 35, 19.884, 0.983, 5
74, 47, 55, 53, 19.812, 1.858, 5
74, 47, 68, 43, 7.162, 0.953, 5
16, 49, 19, 16, 33.663, -0.101, 5
16, 49, 94, 66, 80.408, -1.775, 5
67, 51, 102, 13, 51.354, -0.750, 5
29, 53, 24, 15, 37.993, 0.114, 5
38, 53, 54, 65, 20.394, -2.225, 5
36, 56, 94, 9, 74.657, -0.890, 5
28, 57, 20, 22, 36.067, 0.237, 5
5, 73, 2, 9, 64.073, 0.042, 5
123, 6, 5, 56, 127.982, 1.974, 5
74, 22, 19, 70, 73.834, 2.294, 5
86, 27, 41, 60, 55.337, 2.207, 5
27, 36, 30, 95, 59.316, -3.092, 5
71, 52, 30, 56, 42.002, 1.667, 5
71, 52, 29, 14, 57.025, 0.830, 5
31, 78, 45, 26, 53.740, -0.264, 5
4, 86, 12, 92, 9.836, -2.235, 5
42, 5, 43, 92, 87.183, -3.138, 5
170, 9, 82, 9, 88.362, 1.569, 5
51, 22, 44, 37, 15.731, 2.684, 5
14, 26, 18, 74, 48.020, -3.070, 5
41, 57, 59, 13, 47.549, -0.384, 5
56, 26, 30, 59, 42.055, 2.477, 5
48, 30, 14, 31, 33.638, 1.616, 5
29, 42, 45, 62, 24.929, -2.480, 5
21, 47, 22, 66, 19.028, -3.056, 5
53, 50, 25, 89, 48.147, 2.525, 5
10, 15, 51, 49, 53.399, -2.263, 5
89, 20, 28, 18, 60.740, 1.539, 5
77, 24, 29, 91, 81.709, 2.519, 5
35, 72, 22, 66, 13.493, 1.150, 5
65, 55, 153, 37, 90.517, -1.363, 5
65, 55, 47, 78, 28.611, 2.466, 5
49, 60, 39, 66, 12.045, 2.090, 5
49, 60, 93, 53, 43.779, -1.427, 5
34, 61, 61, 7, 60.238, -0.458, 5
47, 15, 40, 22, 10.002, 2.285, 5
84, 35, 75, 14, 23.376, 0.404, 5
48, 45, 23, 7, 45.064, 0.576, 5
81, 51, 111, 63, 31.924, -1.970, 5
63, 76, 82, 25, 54.205, -0.348, 5
85, 5, 70, 16, 19.479, 2.209, 6
61, 7, 20, 31, 47.937, 2.099, 6
107, 8, 5, 51, 110.414, 1.970, 6
94, 9, 60, 18, 35.277, 1.839, 6
102, 13, 76, 2, 27.885, 1.178, 6
75, 14, 22, 80, 84.820, 2.463, 6
28, 18, 80, 20, 52.360, -1.604, 6
60, 21, 33, 75, 60.156, 2.680, 6
51, 25, 70, 7, 26.675, -0.801, 6
45, 26, 18, 54, 38.787, 2.386, 6
71, 33, 34, 9, 43.424, 1.000, 6
167, 35, 154, 62, 29.128, 2.703, 6
59, 41, 67, 45, 8.971, -2.032, 6
21, 63, 69, 13, 69.469, -0.762, 6
19, 70, 16, 107, 37.010, 3.047, 6
18, 74, 47, 37, 46.402, -0.673, 6
56, 92, 67, 95, 12.197, -1.834, 6
61, 4, 20, 61, 69.707, 2.529, 6
18, 4, 95, 19, 78.757, -1.758, 6
19, 16, 93, 50, 81.630, -2.009, 6
87, 17, 33, 90, 90.688, 2.509, 6
83, 17, 61, 47, 36.875, 2.512, 6
14, 31, 112, 47, 99.046, -1.729, 6
74, 32, 66, 36, 8.894, 2.047, 6
39, 33, 82, 35, 42.225, -1.608, 6
51, 49, 32, 35, 24.121, 0.934, 6
66, 59, 27, 18, 56.756, 0.759, 6
41, 60, 20, 36, 31.993, 0.744, 6
45, 62, 20, 61, 24.163, 1.516, 6
61, 63, 5, 45, 58.704, 1.268, 6
39, 66, 8, 19, 55.954, 0.592, 6
13, 68, 62, 36, 58.695, -0.978, 6
16, 77, 18, 85, 8.573, -2.900, 6
22, 77, 7, 15, 64.324, 0.241, 6
12, 80, 28, 84, 16.638, -1.830, 6
18, 82, 9, 98, 19.031, 2.619, 6
67, 84, 59, 26, 57.877, 0.150, 6
25, 89, 35, 15, 75.201, -0.134, 6
30, 95, 37, 21, 74.592, -0.101, 6
95, 7, 34, 38, 68.440, 2.035, 6
96, 12, 68, 30, 33.198, 2.160, 6
96, 12, 118, 56, 49.092, -2.683, 6
63, 24, 24, 8, 42.930, 1.196, 6
93, 53, 35, 18, 67.955, 1.027, 6
53, 62, 15, 69, 37.995, 1.767, 6
27, 73, 23, 10, 62.776, 0.068, 6
47, 78, 28, 62, 25.167, 0.886, 6
43, 92, 7, 8, 91.058, 0.403, 6
55, 53, 36, 5, 51.302, 0.379, 6
25, 94, 65, 19, 84.931, -0.487, 6
11, 106, 86, 49, 93.984, -0.926, 6
45, 13, 26, 37, 31.081, 2.473, 6
45, 13, 35, 18, 11.884, 2.059, 6
84, 33, 88, 32, 3.931, -1.264, 6
78, 37, 86, 41, 9.324, -2.024, 6
78, 37, 82, 35, 3.954, -1.070, 6
54, 46, 61, 3, 42.702, -0.151, 6
37, 56, 50, 42, 19.001, -0.751, 6
32, 67, 51, 31, 41.851, -0.494, 6
52, 19, 62, 29, 14.663, -2.307, 6
40, 22, 47, 37, 17.219, -2.743, 6
82, 25, 46, 30, 36.174, 1.707, 6
153, 37, 67, 95, 104.025, 2.169, 6
153, 37, 116, 51, 40.245, 1.942, 6
34, 42, 7, 36, 27.920, 1.342, 6
40, 73, 32, 12, 61.842, 0.116, 6
