x1, y1, x2, y2, d, a, t
26, 84, 21, 109, 25.934, 2.937, 57
165, 43, 144, 33, 23.974, 1.097, 58
129, 91, 134, 68, 23.615, -0.212, 58
146, 50, 143, 24, 26.597, 0.107, 58
87, 108, 79, 115, 11.255, 2.333, 59
102, 109, 91, 112, 11.294, 1.835, 59
47, 139, 58, 129, 14.428, -0.867, 59
112, 157, 102, 165, 12.803, 2.242, 59
150, 98, 155, 84, 15.637, -0.315, 59
145, 147, 132, 153, 13.741, 2.013, 59
92, 129, 91, 114, 14.808, 0.001, 59
80, 60, 83, 42, 18.078, -0.141, 59
80, 116, 70, 128, 14.890, 2.446, 59
65, 77, 76, 85, 13.578, -2.156, 59
92, 93, 84, 101, 11.674, 2.386, 59
134, 131, 135, 108, 22.802, -0.050, 60
52, 75, 41, 86, 15.298, 2.356, 60
68, 71, 64, 55, 16.115, 0.214, 60
73, 101, 59, 117, 21.639, 2.410, 60
45, 67, 42, 49, 18.490, 0.182, 60
76, 85, 67, 99, 17.017, 2.569, 60
59, 101, 76, 82, 24.941, -0.759, 60
112, 132, 89, 142, 25.240, 1.977, 61
83, 115, 96, 127, 17.443, -2.290, 61
101, 106, 78, 104, 22.515, 1.497, 61
146, 122, 167, 123, 20.840, -1.619, 61
55, 157, 41, 152, 15.403, 1.213, 61
138, 42, 151, 60, 22.348, -2.541, 61
70, 126, 64, 143, 17.893, 2.802, 61
152, 51, 152, 77, 26.108, -3.113, 61
174, 96, 159, 96, 15.248, 1.576, 62
139, 61, 136, 73, 12.621, 2.855, 62
96, 127, 85, 131, 12.136, 1.911, 62
160, 138, 171, 153, 18.647, -2.470, 62
95, 115, 109, 123, 15.647, -2.088, 63
141, 66, 131, 85, 21.370, 2.671, 63
137, 99, 116, 83, 26.282, 0.926, 63
116, 44, 106, 63, 21.533, 2.630, 63
147, 121, 171, 125, 25.052, -1.741, 63
118, 98, 95, 101, 23.787, 1.707, 63
79, 57, 69, 44, 15.894, 0.653, 64
173, 49, 156, 54, 17.360, 1.823, 64
146, 99, 129, 99, 17.180, 1.605, 64
120, 144, 105, 133, 18.536, 0.931, 64
124, 95, 136, 87, 14.351, -0.962, 64
135, 43, 118, 56, 20.899, 2.204, 64
100, 112, 121, 107, 22.269, -1.366, 64
144, 151, 125, 158, 20.224, 1.948, 64
64, 160, 90, 164, 26.131, -1.726, 65
41, 156, 64, 159, 22.622, -1.677, 65
19, 163, 34, 150, 20.029, -0.853, 65
30, 104, 51, 96, 23.203, -1.202, 66
152, 33, 135, 28, 18.255, 1.271, 66
106, 39, 114, 28, 14.469, -0.614, 66
20, 66, 32, 79, 17.699, -2.365, 67
47, 38, 29, 32, 19.100, 1.271, 67
32, 99, 23, 78, 23.565, 0.432, 67
64, 76, 62, 92, 16.372, 3.018, 68
63, 101, 69, 119, 19.019, -2.804, 68
175, 89, 153, 80, 23.984, 1.162, 69
129, 73, 119, 87, 17.237, 2.466, 70
147, 27, 135, 35, 14.503, 2.139, 70
119, 42, 112, 57, 16.223, 2.685, 70
142, 49, 139, 65, 16.242, 2.963, 70
166, 92, 162, 107, 15.223, 2.884, 70
91, 79, 96, 95, 16.864, -2.836, 71
112, 93, 113, 106, 13.671, -3.088, 71
113, 67, 103, 78, 14.861, 2.466, 71
133, 18, 120, 33, 20.267, 2.440, 72
