x1, y1, x2, y2, d, a, t
19, 171, 19, 158, 12.708, 0.005, 75
10, 165, 12, 150, 15.655, -0.149, 75
30, 173, 11, 174, 19.637, 1.652, 75
12, 134, 14, 146, 12.685, -2.970, 75
10, 14, 10, 32, 18.903, -3.128, 76
3, 127, 14, 116, 15.957, -0.769, 76
22, 160, 33, 174, 18.427, -2.507, 76
10, 82, 9, 104, 22.254, 3.108, 76
35, 177, 40, 161, 17.175, -0.298, 76
9, 28, 23, 15, 19.598, -0.830, 76
18, 113, 22, 98, 15.200, -0.259, 76
6, 32, 13, 46, 14.890, -2.691, 76
34, 155, 26, 138, 19.127, 0.425, 76
26, 120, 12, 109, 18.164, 0.919, 76
52, 47, 56, 39, 8.690, -0.406, 77
20, 102, 26, 97, 8.005, -0.880, 77
26, 126, 32, 120, 8.310, -0.865, 77
31, 130, 41, 126, 10.972, -1.155, 77
28, 25, 33, 19, 8.703, -0.674, 77
46, 25, 53, 17, 11.178, -0.669, 77
38, 49, 35, 39, 10.708, 0.235, 77
16, 72, 22, 67, 8.560, -0.828, 77
16, 72, 22, 67, 8.560, -0.828, 77
29, 119, 36, 114, 8.562, -0.999, 77
57, 10, 46, 6, 12.315, 1.233, 77
26, 83, 31, 76, 8.895, -0.718, 77
26, 115, 32, 109, 8.396, -0.832, 77
16, 12, 23, 5, 9.394, -0.777, 77
18, 18, 24, 11, 9.277, -0.684, 77
43, 66, 47, 59, 8.673, -0.508, 77
16, 96, 22, 91, 8.349, -0.901, 77
15, 102, 21, 95, 9.256, -0.721, 77
34, 102, 40, 95, 9.498, -0.677, 77
26, 123, 34, 118, 9.127, -0.998, 77
24, 49, 30, 42, 8.897, -0.779, 77
28, 76, 35, 68, 10.551, -0.752, 77
46, 85, 56, 77, 12.180, -0.903, 77
22, 67, 4, 57, 20.078, 1.098, 78
36, 114, 54, 112, 18.281, -1.454, 78
47, 72, 27, 69, 20.355, 1.416, 78
11, 78, 20, 67, 13.768, -0.675, 78
21, 147, 10, 162, 18.915, 2.495, 78
40, 85, 56, 93, 18.662, -2.044, 78
41, 53, 21, 64, 23.242, 2.077, 79
55, 122, 43, 133, 16.031, 2.353, 79
27, 84, 19, 69, 16.329, 0.498, 79
6, 164, 21, 149, 21.146, -0.805, 79
13, 80, 31, 89, 19.688, -2.031, 79
38, 113, 16, 114, 21.947, 1.615, 79
