x1, y1, x2, y2, d, a, t, dc
67, 55, 70, 58, 4.888, -2.356, 5, 0.707
88, 57, 49, 54, 39.245, 1.494, 5, 0.997
108, 57, 94, 65, 16.869, 2.063, 5, 0.881
82, 62, 81, 60, 2.585, 0.547, 5, 0.520
86, 65, 123, 50, 40.432, -1.184, 5, 0.926
127, 65, 129, 69, 3.864, -2.678, 5, 0.447
88, 69, 87, 70, 1.728, 2.498, 5, 0.600
69, 133, 74, 142, 10.189, -2.642, 5, 0.479
99, 70, 99, 77, 6.636, -3.142, 5, 0.000
127, 32, 46, 93, 101.699, 2.221, 6, 0.796
32, 33, 95, 70, 73.649, -2.105, 6, 0.861
132, 34, 88, 48, 46.174, 1.879, 6, 0.953
107, 39, 130, 51, 25.942, -2.052, 6, 0.887
36, 40, 31, 45, 7.071, 2.356, 6, 0.707
132, 40, 82, 74, 60.033, 2.181, 6, 0.820
39, 42, 79, 50, 41.068, -1.777, 6, 0.979
117, 42, 118, 45, 3.162, -2.820, 6, 0.316
42, 43, 60, 75, 37.239, -2.637, 6, 0.483
112, 44, 131, 59, 24.207, -2.239, 6, 0.785
117, 45, 116, 47, 2.236, 2.678, 6, 0.447
122, 45, 102, 72, 33.601, 2.504, 6, 0.595
130, 45, 99, 63, 35.847, 2.097, 6, 0.865
125, 50, 102, 81, 39.084, 2.512, 6, 0.588
109, 52, 107, 55, 3.606, 2.554, 6, 0.555
79, 53, 78, 58, 5.886, 2.971, 6, 0.170
74, 54, 90, 69, 21.932, -2.324, 6, 0.730
110, 54, 111, 56, 2.236, -2.678, 6, 0.447
117, 54, 113, 52, 4.472, 1.107, 6, 0.894
129, 54, 99, 66, 32.311, 1.951, 6, 0.928
116, 56, 115, 58, 2.236, 2.678, 6, 0.447
72, 58, 70, 63, 5.727, 2.930, 6, 0.210
85, 58, 85, 62, 4.405, -3.096, 6, 0.045
109, 59, 107, 60, 2.236, 2.034, 6, 0.894
115, 59, 127, 35, 26.833, -0.464, 6, 0.447
82, 60, 81, 66, 6.083, 2.976, 6, 0.164
63, 63, 60, 74, 12.144, 2.933, 6, 0.208
99, 64, 123, 54, 26.517, -1.213, 6, 0.937
94, 65, 48, 101, 58.412, 2.235, 6, 0.788
107, 65, 104, 69, 5.000, 2.498, 6, 0.600
