x1, y1, x2, y2, d, a, t, dc
78, 53, 63, 5, 50.462, 0.305, 5, 0.300
78, 53, 109, 60, 32.072, -1.776, 5, 0.979
7, 173, 11, 176, 5.467, -2.117, 5, 0.855
117, 16, 115, 18, 2.462, 2.119, 5, 0.854
93, 21, 93, 21, 0.822, 2.822, 5, 0.314
117, 26, 118, 28, 2.013, -2.818, 5, 0.318
116, 16, 115, 18, 2.230, 2.517, 5, 0.585
137, 32, 136, 33, 1.769, 2.376, 5, 0.693
134, 173, 130, 173, 3.613, 1.676, 5, 0.995
134, 173, 130, 173, 3.613, 1.676, 5, 0.995
36, 44, 38, 51, 7.557, -2.869, 5, 0.269
147, 41, 147, 38, 2.464, -0.173, 5, 0.173
62, 2, 59, 4, 3.731, 2.338, 6, 0.720
63, 5, 124, 19, 62.931, -1.791, 6, 0.976
63, 10, 65, 16, 6.269, -2.895, 6, 0.244
178, 21, 17, 7, 161.189, 1.487, 6, 0.996
178, 21, 175, 17, 4.375, 0.638, 6, 0.596
33, 29, 34, 34, 5.140, -2.911, 6, 0.228
15, 38, 184, 81, 174.336, -1.822, 6, 0.969
106, 39, 124, 54, 23.645, -2.290, 6, 0.752
118, 42, 120, 18, 23.859, -0.085, 6, 0.085
125, 46, 128, 42, 5.069, -0.595, 6, 0.560
109, 52, 99, 53, 10.151, 1.676, 6, 0.994
116, 53, 114, 55, 2.332, 2.248, 6, 0.780
28, 56, 56, 37, 33.656, -0.978, 6, 0.829
28, 56, 177, 67, 149.881, -1.648, 6, 0.997
82, 59, 81, 65, 5.540, 3.095, 6, 0.047
84, 60, 94, 54, 11.092, -0.976, 6, 0.828
84, 60, 94, 54, 11.092, -0.976, 6, 0.828
27, 61, 26, 65, 4.220, 3.113, 6, 0.029
113, 65, 108, 54, 11.706, 0.467, 6, 0.451
107, 65, 14, 10, 108.620, 1.036, 6, 0.860
176, 65, 28, 60, 148.465, 1.535, 6, 0.999
105, 74, 105, 78, 4.047, -3.047, 6, 0.095
73, 123, 76, 129, 6.971, -2.630, 6, 0.490
2, 162, 100, 71, 134.091, -0.825, 6, 0.734
72, 17, 71, 19, 2.376, 2.669, 6, 0.455
129, 19, 129, 21, 2.343, -2.915, 6, 0.225
117, 26, 79, 49, 44.510, 2.139, 6, 0.843
